Col1,Col2,Col3,Col4,Col5,Col6,Class
2,BMW,74,Female,913,46375,Middle Class
2,Toyota,90,Male,1599,90582,Upper Middle Class
10,BMW,80,Male,1685,21304,Rich
5,Toyota,44,Male,1954,67956,Upper Middle Class
4,BMW,76,Female,1163,83561,Upper Middle Class
7,BMW,45,Male,1980,96989,Upper Middle Class
1,Honda,34,Male,1526,56731,Rich
9,BMW,45,Female,1614,40886,Upper Middle Class
2,Chevrolet,42,Female,1211,74010,Rich
4,BMW,51,Male,1283,82168,Upper Middle Class
6,Toyota,25,Female,1985,23638,Upper Middle Class
5,Honda,26,Male,1148,79580,Middle Class
4,Honda,77,Female,1347,95217,Middle Class
10,Toyota,74,Female,952,26158,Rich
2,BMW,89,Female,1852,97077,Upper Middle Class
10,Honda,84,Female,775,67527,Rich
10,Toyota,68,Female,1486,15741,Middle Class
5,Honda,83,Male,1855,49938,Middle Class
1,Honda,29,Male,1291,96342,Upper Middle Class
10,BMW,45,Male,1634,34900,Middle Class
10,Honda,53,Male,1661,75380,Rich
8,Honda,32,Female,1922,31178,Middle Class
5,Chevrolet,37,Female,1301,24226,Middle Class
3,Toyota,59,Male,1936,60049,Rich
1,BMW,83,Male,1321,82743,Upper Middle Class
10,Honda,29,Female,1921,82576,Middle Class
9,Honda,88,Male,529,45504,Middle Class
9,Chevrolet,35,Male,835,89010,Rich
9,Honda,73,Male,1452,87690,Rich
7,Chevrolet,34,Female,900,55477,Middle Class
9,Chevrolet,89,Male,1310,40646,Middle Class
3,Toyota,91,Female,989,54697,Upper Middle Class
6,Chevrolet,51,Female,1180,38756,Rich
10,Honda,95,Male,1243,22468,Middle Class
3,Honda,47,Female,1602,73554,Rich
2,Honda,40,Male,1364,58948,Rich
4,Toyota,30,Female,1640,49934,Middle Class
7,BMW,96,Male,1585,13238,Upper Middle Class
2,BMW,97,Male,1931,93601,Middle Class
4,Honda,24,Male,1923,96703,Rich
1,BMW,58,Male,569,22782,Rich
3,Honda,50,Female,670,14655,Middle Class
7,Toyota,98,Male,515,42835,Middle Class
9,Honda,96,Male,637,45500,Upper Middle Class
10,Chevrolet,88,Male,1686,73005,Rich
3,Chevrolet,34,Male,918,71355,Rich
3,Toyota,40,Male,1099,51352,Middle Class
8,BMW,69,Male,1926,36462,Upper Middle Class
6,Toyota,26,Male,707,42706,Rich
10,BMW,40,Male,1768,11765,Rich
8,BMW,69,Male,1161,85381,Upper Middle Class
4,Toyota,20,Male,1385,25726,Upper Middle Class
10,Toyota,50,Male,1026,23132,Rich
1,Honda,32,Male,1800,74710,Upper Middle Class
2,Toyota,67,Female,623,78524,Rich
5,Chevrolet,89,Male,1420,71383,Middle Class
10,Chevrolet,58,Male,1389,48923,Upper Middle Class
7,BMW,39,Female,1435,92500,Upper Middle Class
9,Honda,60,Male,950,55399,Rich
6,BMW,36,Male,860,25103,Rich
2,Toyota,77,Male,888,96075,Rich
2,Toyota,77,Female,1906,71695,Upper Middle Class
8,Honda,73,Female,1376,46731,Middle Class
4,Toyota,52,Female,1933,47218,Upper Middle Class
1,Chevrolet,66,Female,962,10849,Rich
9,Toyota,63,Male,1732,38396,Middle Class
8,Toyota,34,Female,1980,52743,Middle Class
6,Chevrolet,44,Male,752,18679,Rich
6,BMW,75,Male,1614,69774,Rich
1,Chevrolet,56,Male,1765,33349,Middle Class
9,BMW,87,Male,1815,33295,Upper Middle Class
1,BMW,90,Female,901,30872,Rich
6,Chevrolet,97,Female,1138,79574,Rich
3,BMW,76,Male,897,27783,Rich
1,Chevrolet,81,Female,1268,14132,Rich
2,Chevrolet,36,Female,1501,98324,Rich
4,BMW,59,Male,888,92723,Rich
1,Chevrolet,61,Male,740,34856,Rich
7,Toyota,71,Female,665,93472,Upper Middle Class
4,BMW,70,Male,1003,44889,Upper Middle Class
2,Chevrolet,51,Female,1155,25991,Upper Middle Class
1,Toyota,83,Female,1718,97431,Middle Class
3,Honda,19,Male,678,36352,Upper Middle Class
5,BMW,45,Female,623,93818,Upper Middle Class
8,Honda,89,Female,1399,20642,Upper Middle Class
6,Honda,63,Female,831,57631,Middle Class
10,Toyota,60,Female,1152,18002,Middle Class
6,Chevrolet,81,Female,854,75925,Middle Class
6,Chevrolet,59,Male,568,85904,Upper Middle Class
5,Honda,36,Female,1324,65420,Rich
6,BMW,29,Male,1278,27232,Middle Class
8,Honda,64,Male,1118,68983,Rich
10,BMW,27,Female,1368,45040,Middle Class
4,Honda,28,Female,1258,30578,Upper Middle Class
8,BMW,99,Male,803,46416,Rich
6,Honda,84,Female,881,95438,Upper Middle Class
4,BMW,47,Female,1936,99851,Rich
7,Chevrolet,79,Male,755,57773,Upper Middle Class
5,BMW,37,Male,1316,11436,Upper Middle Class
8,BMW,92,Male,1010,40524,Upper Middle Class
2,BMW,89,Female,722,48905,Middle Class
10,Honda,24,Female,1681,74535,Upper Middle Class
6,Honda,55,Female,856,84580,Middle Class
1,Honda,46,Female,1958,25023,Middle Class
4,Toyota,53,Female,1544,15476,Rich
2,Chevrolet,57,Female,1579,23132,Rich
8,Chevrolet,72,Male,843,45073,Rich
10,Chevrolet,84,Male,1725,28697,Upper Middle Class
10,Toyota,87,Female,1202,40586,Rich
1,Toyota,83,Male,1554,22609,Middle Class
3,BMW,36,Female,535,62510,Upper Middle Class
3,BMW,26,Male,1535,97083,Middle Class
2,Honda,29,Male,783,21836,Middle Class
4,Toyota,64,Female,894,76420,Middle Class
5,BMW,40,Female,1222,88863,Rich
2,BMW,79,Male,1075,49663,Upper Middle Class
8,Honda,37,Male,928,29980,Upper Middle Class
5,Honda,98,Male,1473,82769,Rich
3,Chevrolet,18,Male,1243,41879,Rich
8,Chevrolet,99,Male,950,78000,Middle Class
3,Toyota,32,Male,1767,18814,Rich
7,Honda,49,Male,1328,11674,Upper Middle Class
7,Honda,96,Male,1835,95192,Upper Middle Class
2,Chevrolet,92,Female,1489,34669,Middle Class
7,BMW,84,Female,989,49724,Rich
2,Honda,48,Male,1694,63217,Middle Class
8,Toyota,40,Male,1746,73568,Rich
3,BMW,64,Female,1883,18074,Middle Class
8,BMW,95,Male,1627,59056,Upper Middle Class
7,Chevrolet,59,Male,1845,94636,Upper Middle Class
4,BMW,45,Male,1339,35392,Middle Class
8,BMW,79,Male,1376,89798,Upper Middle Class
9,Toyota,35,Female,1688,62352,Rich
8,BMW,62,Female,1155,33125,Middle Class
1,Honda,83,Male,844,95396,Middle Class
2,Chevrolet,20,Female,593,62818,Upper Middle Class
6,BMW,56,Male,1341,44414,Upper Middle Class
3,Honda,49,Female,1387,32416,Middle Class
9,Honda,64,Male,793,55661,Rich
8,BMW,37,Female,1347,62336,Middle Class
1,Chevrolet,22,Female,1872,53219,Middle Class
2,BMW,69,Male,1078,53736,Middle Class
8,Chevrolet,85,Male,651,16384,Rich
2,Honda,45,Male,1480,67183,Upper Middle Class
9,Honda,85,Female,1567,62931,Rich
5,Toyota,33,Male,687,59079,Rich
4,Chevrolet,75,Female,963,12902,Upper Middle Class
3,Toyota,57,Male,801,41329,Middle Class
6,Toyota,41,Female,1876,78794,Upper Middle Class
8,Chevrolet,58,Male,871,52957,Rich
6,Honda,82,Female,517,79054,Middle Class
9,BMW,55,Male,573,92953,Upper Middle Class
10,BMW,38,Male,1899,79365,Upper Middle Class
6,Honda,93,Female,1529,88549,Middle Class
6,Chevrolet,61,Female,1741,92163,Upper Middle Class
7,Toyota,82,Female,1385,20513,Upper Middle Class
6,Chevrolet,94,Female,917,88497,Upper Middle Class
8,Toyota,28,Male,1367,19537,Upper Middle Class
8,Honda,72,Female,871,99452,Middle Class
5,Toyota,24,Male,1316,30452,Upper Middle Class
8,BMW,31,Female,873,45835,Middle Class
8,BMW,30,Female,1475,69255,Rich
6,Toyota,38,Male,1912,45951,Upper Middle Class
7,Honda,61,Male,1170,58515,Middle Class
8,Chevrolet,29,Female,897,11748,Middle Class
6,BMW,82,Female,1330,71084,Rich
3,Chevrolet,55,Male,660,79697,Rich
3,Honda,83,Female,1265,67927,Middle Class
5,Toyota,86,Male,1365,75673,Upper Middle Class
8,Toyota,66,Male,777,41818,Rich
6,Honda,40,Female,734,34420,Upper Middle Class
5,BMW,54,Female,1097,45018,Middle Class
7,Toyota,42,Female,860,67745,Rich
1,Toyota,23,Male,1056,50153,Middle Class
8,BMW,58,Female,834,99655,Middle Class
3,Honda,68,Female,1954,35487,Upper Middle Class
5,BMW,43,Male,1515,20344,Rich
3,BMW,67,Male,1234,15673,Upper Middle Class
8,Honda,85,Female,1441,15434,Middle Class
5,Honda,18,Female,667,11397,Rich
4,Toyota,66,Female,907,93070,Upper Middle Class
10,BMW,49,Female,837,75465,Rich
9,Toyota,32,Female,1796,24915,Rich
10,Chevrolet,69,Female,1216,68528,Rich
2,Toyota,83,Male,1615,88109,Middle Class
4,Honda,30,Female,1446,62228,Middle Class
3,BMW,90,Female,1981,35043,Upper Middle Class
10,BMW,81,Male,1437,73121,Rich
6,Toyota,23,Male,585,66887,Rich
6,Chevrolet,68,Male,1900,40684,Upper Middle Class
8,Toyota,31,Female,1093,31716,Upper Middle Class
10,Toyota,26,Female,790,17983,Upper Middle Class
9,Toyota,22,Male,771,67085,Upper Middle Class
4,Chevrolet,36,Male,870,24969,Middle Class
5,Chevrolet,19,Male,1834,67336,Middle Class
7,Chevrolet,74,Female,914,45962,Rich
7,Chevrolet,49,Female,1139,23385,Rich
10,Honda,59,Female,1210,92075,Middle Class
10,Honda,100,Female,1009,88221,Rich
9,Toyota,66,Male,1124,78580,Rich
4,Chevrolet,79,Male,1588,39073,Rich
8,Toyota,29,Male,683,38408,Upper Middle Class
7,BMW,91,Male,1281,74363,Middle Class
6,Honda,28,Female,1483,75404,Upper Middle Class
8,Honda,80,Male,1024,92392,Middle Class
7,Toyota,38,Female,1303,60312,Upper Middle Class
5,BMW,64,Female,1611,71960,Rich
5,Toyota,39,Female,1555,21620,Rich
8,Chevrolet,90,Male,1274,96515,Middle Class
9,Toyota,25,Male,1366,32746,Upper Middle Class
6,Honda,64,Male,1714,84642,Middle Class
3,Chevrolet,29,Female,1783,98980,Rich
9,Honda,19,Female,1717,10044,Middle Class
9,BMW,50,Female,558,57603,Rich
4,Toyota,81,Female,931,94665,Rich
4,Chevrolet,38,Female,574,31368,Middle Class
1,Toyota,43,Male,1062,90000,Middle Class
9,Toyota,76,Female,520,63338,Upper Middle Class
3,Toyota,50,Male,1942,32275,Upper Middle Class
4,BMW,53,Female,1947,62496,Upper Middle Class
8,Chevrolet,90,Female,1103,53177,Upper Middle Class
10,BMW,95,Male,1859,54708,Middle Class
7,BMW,41,Female,981,32998,Rich
3,Chevrolet,19,Male,998,95699,Upper Middle Class
2,Toyota,84,Male,1015,38557,Rich
7,Toyota,30,Female,1086,24465,Rich
4,Honda,93,Female,535,86982,Upper Middle Class
6,Honda,22,Male,1301,16053,Upper Middle Class
9,Honda,27,Female,1388,87551,Rich
5,BMW,34,Female,1735,49190,Rich
1,Toyota,36,Female,1290,39124,Middle Class
3,BMW,91,Female,844,62731,Rich
2,BMW,82,Female,1393,64086,Upper Middle Class
5,Toyota,67,Male,1849,71517,Rich
6,Chevrolet,39,Male,979,95309,Middle Class
9,Toyota,89,Male,1138,65969,Rich
6,Honda,79,Male,769,98960,Middle Class
2,Chevrolet,85,Male,1620,57290,Middle Class
1,Toyota,64,Male,1433,63512,Middle Class
1,Chevrolet,83,Male,567,51450,Upper Middle Class
7,Honda,19,Female,1589,11167,Middle Class
1,Honda,74,Female,1454,12276,Upper Middle Class
7,Chevrolet,59,Male,1702,28420,Rich
6,BMW,47,Male,516,79857,Rich
2,Chevrolet,31,Female,508,52677,Upper Middle Class
6,Honda,100,Male,1769,36049,Rich
1,BMW,81,Female,791,60822,Upper Middle Class
5,Chevrolet,46,Male,934,15013,Rich
1,Honda,97,Male,1850,92447,Middle Class
4,BMW,34,Male,1996,82081,Upper Middle Class
6,Toyota,36,Female,587,13921,Middle Class
2,BMW,28,Male,1522,48343,Rich
9,Chevrolet,77,Male,1440,80301,Rich
1,Toyota,83,Male,1272,65379,Upper Middle Class
3,Honda,73,Female,1420,42075,Upper Middle Class
9,Chevrolet,72,Female,1862,81282,Middle Class
1,BMW,23,Female,1055,21691,Middle Class
6,Toyota,57,Male,542,81279,Upper Middle Class
2,Honda,46,Female,1384,16547,Rich
3,Toyota,46,Male,1529,89899,Rich
9,Chevrolet,85,Male,856,92659,Upper Middle Class
9,Chevrolet,27,Male,773,98853,Upper Middle Class
2,Toyota,84,Female,672,29180,Upper Middle Class
3,Chevrolet,95,Male,1319,71676,Upper Middle Class
9,Chevrolet,62,Male,1533,17615,Rich
1,Chevrolet,23,Male,1972,64360,Upper Middle Class
3,BMW,60,Male,1365,44244,Rich
10,Chevrolet,37,Male,969,52715,Rich
4,Toyota,97,Female,1308,37831,Rich
4,Chevrolet,90,Male,1939,66826,Rich
3,Honda,39,Female,688,44475,Upper Middle Class
10,Chevrolet,48,Female,977,13100,Rich
3,BMW,90,Female,1792,98173,Middle Class
7,Chevrolet,75,Male,1445,18135,Rich
8,Toyota,34,Male,1416,90941,Upper Middle Class
4,BMW,78,Male,1166,45778,Rich
1,BMW,49,Male,1397,82698,Upper Middle Class
2,BMW,69,Female,1397,33922,Rich
6,Chevrolet,90,Female,1796,34172,Upper Middle Class
8,BMW,61,Male,1262,69112,Upper Middle Class
8,Honda,100,Male,1631,85280,Rich
6,Honda,68,Male,631,75510,Upper Middle Class
2,Toyota,41,Male,1227,37812,Middle Class
6,Toyota,86,Female,1749,79510,Upper Middle Class
10,Honda,80,Female,1935,46139,Rich
5,Chevrolet,56,Female,1625,81553,Rich
5,Chevrolet,75,Male,1326,48022,Rich
10,Honda,70,Male,1020,54139,Rich
8,Honda,50,Male,1263,75595,Upper Middle Class
9,Chevrolet,49,Female,1527,95526,Upper Middle Class
4,Chevrolet,40,Female,1200,54135,Upper Middle Class
9,Honda,62,Male,1179,66185,Middle Class
9,BMW,60,Female,1301,96970,Middle Class
5,Chevrolet,47,Female,556,53285,Middle Class
10,Honda,65,Male,638,34380,Upper Middle Class
4,Chevrolet,48,Male,671,47433,Middle Class
4,Chevrolet,85,Male,1531,17259,Upper Middle Class
1,Toyota,70,Female,1340,44070,Upper Middle Class
5,Chevrolet,96,Male,952,13889,Upper Middle Class
8,Toyota,92,Female,500,83631,Rich
6,Honda,48,Male,1514,71529,Rich
4,Chevrolet,42,Female,1896,47700,Rich
5,Toyota,37,Female,678,87457,Rich
9,Chevrolet,20,Male,513,68375,Rich
1,Honda,72,Male,1314,46646,Rich
2,Honda,91,Female,1428,83665,Rich
9,BMW,26,Male,856,15071,Upper Middle Class
1,BMW,53,Male,718,95058,Middle Class
1,Honda,68,Female,630,31633,Rich
4,Honda,51,Male,1212,67662,Middle Class
2,Toyota,74,Female,643,75992,Rich
8,Honda,85,Female,677,69083,Upper Middle Class
7,Toyota,96,Female,1929,80454,Middle Class
3,Chevrolet,67,Female,1916,79249,Upper Middle Class
9,Honda,97,Female,734,87752,Rich
2,Toyota,73,Male,1423,24275,Middle Class
4,BMW,50,Female,1166,48040,Middle Class
1,Chevrolet,74,Male,1765,98841,Rich
2,Honda,19,Male,1222,37850,Rich
2,BMW,95,Female,571,74215,Rich
4,Honda,41,Female,863,29741,Rich
1,Chevrolet,99,Female,1470,76955,Middle Class
9,Chevrolet,83,Female,1518,73265,Rich
1,Toyota,67,Female,659,57289,Upper Middle Class
1,Toyota,36,Female,1249,12757,Upper Middle Class
8,Toyota,19,Female,1055,84336,Middle Class
6,Chevrolet,49,Female,972,57050,Rich
9,Honda,93,Male,924,90539,Upper Middle Class
2,Honda,47,Female,1758,19571,Rich
5,BMW,47,Male,501,85460,Middle Class
1,Honda,63,Female,1737,48188,Rich
5,Chevrolet,42,Male,959,89294,Upper Middle Class
7,Chevrolet,53,Female,1669,96569,Rich
9,Chevrolet,23,Female,1744,75150,Upper Middle Class
7,Chevrolet,82,Female,1618,24847,Rich
6,BMW,45,Female,1710,29263,Middle Class
1,BMW,67,Female,1906,51675,Upper Middle Class
8,Honda,84,Female,1510,21964,Upper Middle Class
1,Toyota,36,Male,1355,11623,Rich
8,BMW,22,Male,1307,78019,Upper Middle Class
8,BMW,31,Male,655,46932,Middle Class
6,Chevrolet,62,Female,619,15437,Rich
10,Chevrolet,92,Female,626,20790,Upper Middle Class
6,BMW,54,Female,1352,90953,Middle Class
2,Honda,63,Female,517,76522,Rich
1,BMW,85,Male,1382,67086,Upper Middle Class
10,Toyota,91,Female,1306,68284,Middle Class
4,BMW,36,Male,639,86330,Upper Middle Class
6,Chevrolet,75,Female,1904,33531,Upper Middle Class
4,Toyota,34,Male,1735,46272,Rich
5,Toyota,75,Female,1671,45804,Upper Middle Class
3,Toyota,44,Female,1428,38918,Rich
6,Honda,93,Male,1522,56528,Upper Middle Class
3,Toyota,58,Female,769,10152,Rich
1,BMW,37,Female,682,61573,Rich
3,Toyota,29,Female,924,82317,Upper Middle Class
2,Chevrolet,47,Female,1397,42638,Upper Middle Class
7,BMW,78,Male,662,82992,Upper Middle Class
8,BMW,57,Female,1079,70597,Rich
2,Honda,26,Male,1480,45269,Upper Middle Class
10,Toyota,97,Male,1114,21312,Upper Middle Class
6,BMW,34,Male,1161,22604,Upper Middle Class
9,Toyota,88,Male,983,80891,Upper Middle Class
8,Honda,48,Female,1126,41282,Upper Middle Class
3,Honda,57,Male,749,75252,Middle Class
7,Toyota,60,Female,1461,88130,Middle Class
2,BMW,48,Female,643,75425,Rich
3,BMW,68,Male,638,37908,Middle Class
10,Honda,47,Female,1526,62231,Middle Class
7,BMW,97,Female,833,61863,Rich
2,Chevrolet,49,Female,905,77016,Middle Class
8,Honda,84,Male,1097,18441,Upper Middle Class
4,Honda,85,Female,774,17986,Middle Class
1,BMW,74,Male,1479,16990,Middle Class
4,Chevrolet,89,Male,644,36742,Middle Class
3,Chevrolet,83,Male,1686,76374,Upper Middle Class
1,BMW,87,Female,518,90004,Rich
8,BMW,96,Female,1922,38302,Middle Class
4,Honda,89,Female,1496,21557,Middle Class
6,Chevrolet,92,Female,1823,90053,Rich
7,BMW,85,Male,1942,70874,Rich
9,BMW,90,Female,1640,34765,Middle Class
6,Toyota,50,Male,1829,88721,Rich
3,Chevrolet,65,Male,1768,44515,Middle Class
7,Chevrolet,99,Male,1668,44882,Rich
9,Toyota,76,Male,788,15136,Middle Class
5,BMW,78,Female,1321,64529,Middle Class
8,BMW,73,Female,1733,47135,Middle Class
2,Honda,30,Male,701,41962,Upper Middle Class
2,Honda,88,Male,1626,31521,Rich
9,BMW,60,Male,1749,19436,Middle Class
2,BMW,37,Female,1181,49185,Middle Class
9,BMW,76,Male,1721,30670,Rich
2,Honda,24,Female,1968,82734,Rich
5,Toyota,100,Female,746,86182,Rich
2,Toyota,65,Male,1479,57612,Rich
6,Chevrolet,26,Female,627,73017,Rich
5,Honda,74,Female,1044,36759,Upper Middle Class
7,Honda,65,Female,512,21269,Upper Middle Class
9,Honda,95,Male,662,58734,Rich
2,Toyota,84,Male,1937,31753,Rich
3,Honda,69,Female,1946,29971,Middle Class
9,Toyota,47,Male,506,21001,Middle Class
5,Honda,45,Male,610,91675,Upper Middle Class
9,Honda,54,Male,1201,50861,Rich
5,Toyota,25,Female,1752,77649,Upper Middle Class
7,BMW,68,Male,1470,60931,Middle Class
1,Honda,42,Female,1034,99233,Rich
8,BMW,74,Female,1359,62978,Middle Class
10,Honda,26,Male,983,93239,Middle Class
6,BMW,42,Male,900,32306,Rich
8,Chevrolet,97,Female,1366,19856,Rich
3,Chevrolet,84,Male,660,95952,Rich
7,BMW,50,Male,1519,36008,Rich
9,BMW,68,Male,1559,79811,Middle Class
3,Chevrolet,86,Female,508,41424,Upper Middle Class
5,Toyota,46,Female,756,17851,Rich
5,BMW,90,Female,559,71871,Rich
2,Toyota,81,Male,1542,79955,Rich
10,BMW,43,Male,524,37280,Rich
8,Toyota,99,Male,695,49997,Upper Middle Class
5,BMW,28,Male,542,75296,Upper Middle Class
5,Toyota,99,Male,1453,24684,Middle Class
5,Chevrolet,26,Female,957,65109,Rich
10,Chevrolet,47,Female,1479,67630,Rich
10,BMW,63,Male,1910,97671,Upper Middle Class
4,Toyota,90,Female,958,24032,Middle Class
2,Honda,20,Male,1174,11357,Middle Class
4,Chevrolet,35,Male,1306,95776,Middle Class
7,Toyota,55,Female,1372,50664,Middle Class
9,BMW,64,Female,1164,85091,Middle Class
1,Chevrolet,68,Female,1668,72689,Upper Middle Class
8,Toyota,81,Female,1087,43335,Upper Middle Class
5,Honda,98,Male,1779,12467,Upper Middle Class
10,Toyota,69,Male,979,10934,Upper Middle Class
5,BMW,49,Female,1997,41418,Middle Class
6,Toyota,94,Male,1255,78450,Rich
10,BMW,74,Male,1587,48244,Rich
8,Toyota,30,Male,1965,97454,Middle Class
4,Honda,95,Male,1794,25524,Upper Middle Class
2,BMW,98,Female,1264,32660,Rich
10,BMW,32,Female,1734,57003,Upper Middle Class
5,Toyota,65,Female,1001,94341,Middle Class
5,Toyota,34,Male,1017,42168,Upper Middle Class
9,Toyota,38,Male,589,42667,Upper Middle Class
4,BMW,55,Female,1650,89103,Middle Class
1,BMW,97,Male,874,69511,Middle Class
5,Toyota,26,Male,1891,12202,Middle Class
2,Toyota,54,Male,1693,25619,Rich
1,Honda,58,Female,750,11125,Middle Class
4,Chevrolet,44,Male,506,23731,Rich
2,Chevrolet,96,Female,1553,74736,Rich
5,Chevrolet,25,Male,921,69752,Middle Class
9,Toyota,52,Female,1262,20120,Middle Class
8,Chevrolet,41,Female,1521,48617,Rich
10,Chevrolet,89,Female,1140,29913,Upper Middle Class
8,Honda,88,Female,1951,48894,Upper Middle Class
1,Chevrolet,37,Male,1937,97987,Middle Class
7,Chevrolet,93,Male,722,72388,Upper Middle Class
5,Honda,82,Female,813,65912,Rich
6,Toyota,81,Female,1981,61750,Upper Middle Class
7,BMW,100,Female,1678,39735,Rich
4,BMW,39,Male,1023,55137,Upper Middle Class
6,Honda,47,Female,1857,30007,Upper Middle Class
2,Chevrolet,63,Female,1378,67994,Rich
7,Honda,92,Female,531,91057,Middle Class
10,Honda,60,Female,1318,52537,Rich
9,Honda,41,Female,1423,92199,Rich
6,Chevrolet,28,Female,1333,23477,Upper Middle Class
8,Toyota,39,Male,749,85663,Upper Middle Class
8,Chevrolet,19,Male,662,92643,Upper Middle Class
9,Toyota,33,Male,996,90847,Middle Class
8,Chevrolet,84,Male,1077,44750,Upper Middle Class
10,Honda,36,Male,879,38702,Upper Middle Class
10,Toyota,53,Male,1245,28000,Upper Middle Class
7,BMW,88,Male,1442,29583,Upper Middle Class
